"module name","licenses"
"@colors/colors@1.5.0","MIT"
"@dabh/diagnostics@2.0.3","MIT"
"@ory/client@1.14.3","Apache-2.0"
"@ory/elements-markup@0.5.0","Apache*"
"@ory/kratos-selfservice-ui-node@0.21.3","Apache-2.0"
"@redtea/format-axios-error@2.1.1","ISC"
"@types/body-parser@1.19.2","MIT"
"@types/connect@3.4.36","MIT"
"@types/express-serve-static-core@4.17.37","MIT"
"@types/express@4.17.17","MIT"
"@types/http-errors@2.0.2","MIT"
"@types/jsonwebtoken@9.0.3","MIT"
"@types/mime@1.3.3","MIT"
"@types/node@18.16.19","MIT"
"@types/qs@6.9.8","MIT"
"@types/range-parser@1.2.5","MIT"
"@types/send@0.17.2","MIT"
"@types/serve-static@1.15.3","MIT"
"@types/triple-beam@1.3.3","MIT"
"accept-language-parser@1.5.0","MIT"
"accepts@1.3.8","MIT"
"ansi-styles@3.2.1","MIT"
"array-flatten@1.1.1","MIT"
"async@3.2.4","MIT"
"asynckit@0.4.0","MIT"
"axios@1.7.4","MIT"
"balanced-match@1.0.2","MIT"
"body-parser@1.20.3","MIT"
"brace-expansion@2.0.1","MIT"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause"
"bytes@3.1.2","MIT"
"call-bind@1.0.7","MIT"
"chalk@2.4.2","MIT"
"color-convert@1.9.3","MIT"
"color-name@1.1.3","MIT"
"color-string@1.9.1","MIT"
"color@3.2.1","MIT"
"colors@1.4.0","MIT"
"colorspace@1.1.4","MIT"
"combined-stream@1.0.8","MIT"
"content-disposition@0.5.4","MIT"
"content-type@1.0.5","MIT"
"cookie-parser@1.4.7","MIT"
"cookie-signature@1.0.6","MIT"
"cookie@0.7.1","MIT"
"cookie@0.7.2","MIT"
"csrf-csrf@3.0.1","ISC"
"debug@2.6.9","MIT"
"debug@4.3.4","MIT"
"define-data-property@1.1.4","MIT"
"delayed-stream@1.0.0","MIT"
"depd@2.0.0","MIT"
"destroy@1.2.0","MIT"
"ecdsa-sig-formatter@1.0.11","Apache-2.0"
"ee-first@1.1.1","MIT"
"enabled@2.0.0","MIT"
"encodeurl@1.0.2","MIT"
"encodeurl@2.0.0","MIT"
"es-define-property@1.0.0","MIT"
"es-errors@1.3.0","MIT"
"escape-html@1.0.3","MIT"
"escape-string-regexp@1.0.5","MIT"
"etag@1.8.1","MIT"
"express-handlebars@6.0.7","BSD-3-Clause"
"express-jwt@8.4.1","MIT"
"express-unless@2.1.3","MIT"
"express-winston@4.2.0","MIT"
"express@4.21.1","MIT"
"fast-safe-stringify@2.1.1","MIT"
"fecha@4.2.3","MIT"
"finalhandler@1.3.1","MIT"
"fn.name@1.1.0","MIT"
"follow-redirects@1.15.6","MIT"
"form-data@4.0.0","MIT"
"forwarded@0.2.0","MIT"
"fresh@0.5.2","MIT"
"fs.realpath@1.0.0","ISC"
"function-bind@1.1.2","MIT"
"get-intrinsic@1.2.4","MIT"
"glob@8.1.0","ISC"
"gopd@1.0.1","MIT"
"graceful-fs@4.2.11","ISC"
"handlebars@4.7.8","MIT"
"has-flag@3.0.0","MIT"
"has-property-descriptors@1.0.2","MIT"
"has-proto@1.0.1","MIT"
"has-symbols@1.0.3","MIT"
"hasown@2.0.2","MIT"
"http-errors@2.0.0","MIT"
"iconv-lite@0.4.24","MIT"
"inflight@1.0.6","ISC"
"inherits@2.0.4","ISC"
"ipaddr.js@1.9.1","MIT"
"is-arrayish@0.3.2","MIT"
"is-stream@2.0.1","MIT"
"jose@4.15.9","MIT"
"jsonwebtoken@9.0.2","MIT"
"jwa@1.4.1","MIT"
"jwks-rsa@3.0.1","MIT"
"jws@3.2.2","MIT"
"kuler@2.0.0","MIT"
"limiter@1.1.5","MIT"
"lodash.clonedeep@4.5.0","MIT"
"lodash.includes@4.3.0","MIT"
"lodash.isboolean@3.0.3","MIT"
"lodash.isinteger@4.0.4","MIT"
"lodash.isnumber@3.0.3","MIT"
"lodash.isplainobject@4.0.6","MIT"
"lodash.isstring@4.0.1","MIT"
"lodash.once@4.1.1","MIT"
"lodash@4.17.21","MIT"
"logform@2.2.0","MIT"
"logform@2.5.1","MIT"
"lru-cache@4.0.2","ISC"
"lru-cache@6.0.0","ISC"
"lru-memoizer@2.2.0","MIT"
"media-typer@0.3.0","MIT"
"merge-descriptors@1.0.3","MIT"
"methods@1.1.2","MIT"
"mime-db@1.52.0","MIT"
"mime-types@2.1.35","MIT"
"mime@1.6.0","MIT"
"minimatch@5.1.6","ISC"
"minimist@1.2.8","MIT"
"ms@2.0.0","MIT"
"ms@2.1.2","MIT"
"ms@2.1.3","MIT"
"negotiator@0.6.3","MIT"
"neo-async@2.6.2","MIT"
"object-inspect@1.13.2","MIT"
"on-finished@2.4.1","MIT"
"once@1.4.0","ISC"
"one-time@1.0.0","MIT"
"parseurl@1.3.3","MIT"
"path-to-regexp@0.1.10","MIT"
"proxy-addr@2.0.7","MIT"
"proxy-from-env@1.1.0","MIT"
"pseudomap@1.0.2","ISC"
"qs@6.13.0","BSD-3-Clause"
"range-parser@1.2.1","MIT"
"raw-body@2.5.2","MIT"
"readable-stream@3.6.2","MIT"
"safe-buffer@5.2.1","MIT"
"safe-stable-stringify@2.4.3","MIT"
"safer-buffer@2.1.2","MIT"
"semver@7.5.4","ISC"
"send@0.19.0","MIT"
"serve-static@1.16.2","MIT"
"set-function-length@1.2.2","MIT"
"setprototypeof@1.2.0","ISC"
"side-channel@1.0.6","MIT"
"simple-swizzle@0.2.2","MIT"
"source-map@0.6.1","BSD-3-Clause"
"stack-trace@0.0.10","MIT"
"statuses@2.0.1","MIT"
"string_decoder@1.3.0","MIT"
"supports-color@5.5.0","MIT"
"text-hex@1.0.0","MIT"
"toidentifier@1.0.1","MIT"
"triple-beam@1.4.1","MIT"
"type-is@1.6.18","MIT"
"uglify-js@3.17.4","BSD-2-Clause"
"unpipe@1.0.0","MIT"
"util-deprecate@1.0.2","MIT"
"utils-merge@1.0.1","MIT"
"vary@1.1.2","MIT"
"winston-transport@4.5.0","MIT"
"winston@3.10.0","MIT"
"wordwrap@1.0.0","MIT"
"wrappy@1.0.2","ISC"
"yallist@2.1.2","ISC"
"yallist@4.0.0","ISC"

