Issue Id,Issue Type,Epic Name,Summary,Description,Parent,Module,Component,Execution Context,Acceptance Criteria,Story Points,Assignee,Reporter,Priority,Labels,Fix Versions,Sprint,Original Estimate,Remaining Estimate,Due Date,Attachment URL,External Id,Manifest Path,QA Status,Estimate Confidence
EPIC-SCAN-SEC-000,Epic,ScanSure — Security & Production Closeout,"Complete all MUST/CRITICAL production artifacts, wire secrets, run CI, and validate end‑to‑end in staging","Close all remaining operational, infra and security gaps so ScanSure is production‑grade and passes the verification checklist.",,ScanSure,Program,Cluster staging,All MUST verification gates green in staging per runbook.,13,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"security,production,kratos,keto,oathkeeper",v0.1-MVP,Sprint 1,14400,14400,,,EPIC-SCAN-SEC-000,infra/runbook/README_DEPLOY_STAGE.md,Planned,High
ST-SCAN-001,Story,Kratos Identity Schema,Add tenant_id + roles to Kratos identity schema and apply,Create and apply Kratos identity schema file so identities require tenant_id and roles; test whoami returns traits.,EPIC-SCAN-SEC-000,ScanSure,Identity,Kratos Admin,whoami returns tenant_id & roles for test sessions.,8,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"kratos,identity",v0.1-MVP,Sprint 1,7200,7200,,,ST-SCAN-001,infra/kratos/identity.schema.scansure.json,Planned,High
SUB-SCAN-001-01,Sub-task,Create Kratos identity schema file,Add JSON schema file for identities (tenant_id + roles),Create file infra/kratos/identity.schema.scansure.json with required tenant_id and roles trait.,ST-SCAN-001,ScanSure,Identity,Kratos Admin,Schema file exists in repo and lint passes.,3,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"kratos,identity",v0.1-MVP,Sprint 1,3600,3600,,,SUB-SCAN-001-01,infra/kratos/identity.schema.scansure.json,Planned,High
SUB-SCAN-001-02,Sub-task,Apply Kratos schema via admin API,POST schema to Kratos admin and verify,Call Kratos admin endpoint to upsert schema and then create a test identity to validate sessions/whoami include tenant traits.,ST-SCAN-001,ScanSure,Identity,Kratos Admin,whoami for test identity shows tenant_id and roles.,5,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"kratos,identity",v0.1-MVP,Sprint 1,3600,3600,,,SUB-SCAN-001-02,runbook/kratos-apply-schema.sh,Planned,High
ST-SCAN-002,Story,Server middleware: requireAdmin.audit,"Create server middleware that validates whoami server-side, enforces roles, and emits structured audit logs","Implement requireAdmin.audit middleware for admin API routes to call /sessions/whoami, enforce roles, and log structured JSON audits.",EPIC-SCAN-SEC-000,ScanSure,Server,Next/Express Admin API,"Unauthenticated requests 403; admin requests 200 and produce audit log entries including actor_id, email, tenant_id.",8,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"server,audit,rbac",v0.1-MVP,Sprint 1,7200,7200,,,ST-SCAN-002,kratos-selfservice-ui/src/lib/requireAdmin.audit.js,Planned,High
SUB-SCAN-002-01,Sub-task,Implement requireAdmin.audit.js,Add middleware file with whoami call and pino JSON logging,Create kratos-selfservice-ui/src/lib/requireAdmin.audit.js exporting middleware; include pino and error handling.,ST-SCAN-002,ScanSure,Server,Next/Express Admin API,Middleware file present and unit tests lint & pass.,3,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"server,audit",v0.1-MVP,Sprint 1,3600,3600,,,SUB-SCAN-002-01,kratos-selfservice-ui/src/lib/requireAdmin.audit.js,Planned,High
SUB-SCAN-002-02,Sub-task,Protect all admin routes,Wrap admin APIs with middleware and test,Apply middleware to admin routes; validate 403 for no session and 403 for insufficient role; audit logs created for both accept/deny.,ST-SCAN-002,ScanSure,Server,Next/Express Admin API,403 on unauthenticated or insufficient role; successful admin actions logged.,5,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"server,rbac,audit",v0.1-MVP,Sprint 1,3600,3600,,,SUB-SCAN-002-02,kratos-selfservice-ui/pages/api/admin/.js,Planned,High
ST-SCAN-003,Story,Tenant Onboarding API (transactional),"API: create tenant DB row, Kratos identity (tenant trait), call Keto bootstrap idempotently","Implement pages/api/admin/tenants.js: transactional DB insert, Kratos create identity with tenant trait, call keto-bootstrap, rollback on failures.",EPIC-SCAN-SEC-000,ScanSure,Server,Admin API,"DB row created, Kratos identity with tenant_id & roles, Keto tuples present, transaction committed.",13,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"tenants,onboarding,kratos,keto",v0.1-MVP,Sprint 1,14400,14400,,,ST-SCAN-003,kratos-selfservice-ui/pages/api/admin/tenants.js,Planned,High
SUB-SCAN-003-01,Sub-task,Implement DB transaction scaffolding,Add transactional DB code for tenant create,Add server/lib/db/transactions.js (or ORM pattern) to create tenant and rollback on error.,ST-SCAN-003,ScanSure,Server,Admin API/DB,DB transaction created and rollback tested.,4,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"db,transaction",v0.1-MVP,Sprint 1,7200,7200,,,SUB-SCAN-003-01,server/lib/db/transactions.js,Planned,High
SUB-SCAN-003-02,Sub-task,Implement createKratosIdentity(),Function that POSTs to Kratos admin /identities with traits,"Add server/services/kratosClient.js with function createKratosIdentity({email,name,tenantId}) handling errors & retries.",ST-SCAN-003,ScanSure,Server,Admin API/Kratos,Kratos returns 201; identity traits include tenant_id & roles.,4,onboarding@techkasetti.com,onboarding@techkasetti.com,Highest,"kratos,api",v0.1-MVP,Sprint 1,7200,7200,,,SUB-SCAN-003-02,server/services/kratosClient.js,Planned,High
